251,254,253,253,254,254,252,253,251,254,254,254,254,253,252,252,252,254,253,254,253,254,254,253,254,254,254,254,253,253,255,253,252,254,251,252,254,255,254,255,255,254,252,253,250,249,253,251,254,254,253,250,250,249,254,253,254,254,255,253
254,254,253,254,251,254,252,252,253,252,254,254,254,252,252,253,248,254,253,254,253,254,254,254,255,254,255,254,254,254,255,253,253,254,254,252,252,254,253,254,253,254,252,251,253,253,249,253,254,254,254,254,254,254,252,254,254,252,253,254
253,250,252,253,251,254,253,253,251,250,255,253,254,249,251,254,252,254,250,253,253,252,254,254,255,254,254,254,254,254,255,254,253,253,255,253,252,254,253,253,255,255,253,252,252,251,252,254,253,252,253,254,251,251,253,254,254,253,253,254
252,251,254,253,252,249,252,253,247,253,250,245,253,252,253,252,247,249,251,251,252,252,254,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,252,246,249,251,249,249,245,250,252,252,252,254,253,250,253,252,252,252,252
252,254,252,253,254,255,252,252,253,250,250,250,249,209,205,248,251,253,254,253,255,254,254,254,253,254,254,254,254,253,254,255,253,253,252,253,252,255,253,254,252,254,249,239,198,185,202,249,252,253,251,253,253,254,254,253,253,252,253,255
254,253,250,250,250,247,248,253,238,105,95,241,148,50,64,99,240,254,247,248,252,249,246,251,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,246,239,112,129,148,101,166,251,246,183,211,253,247,249,251,249,250,250,251
246,247,252,252,247,251,252,249,144,65,79,94,72,112,128,67,140,243,255,251,250,249,251,249,250,250,250,250,250,250,250,250,250,250,249,249,250,249,250,248,248,251,146,151,177,194,167,110,241,173,49,69,214,254,249,251,249,250,250,250
251,249,251,247,247,254,219,151,65,131,123,37,66,115,121,110,59,223,250,250,251,246,252,249,250,250,250,250,250,250,250,250,250,250,250,246,247,250,250,248,247,239,150,152,85,120,192,138,210,113,100,77,165,251,252,245,249,249,250,250
251,248,251,248,249,249,102,54,66,91,70,84,58,68,111,141,75,193,252,250,248,250,251,248,250,250,250,250,250,250,250,250,249,250,248,246,247,250,248,248,249,206,151,111,76,80,163,152,194,142,84,69,116,243,250,248,249,249,250,251
249,251,251,250,249,221,80,103,63,57,135,242,186,54,83,140,85,155,251,252,252,249,248,251,250,250,250,250,250,250,250,250,249,250,251,249,248,248,251,244,249,196,141,135,86,129,182,140,226,197,45,41,46,91,224,246,249,249,250,251
248,251,248,250,251,224,65,74,65,228,247,232,193,63,88,160,116,90,244,248,246,246,251,251,250,250,249,250,250,250,250,249,249,249,251,250,251,249,252,246,249,227,130,187,195,171,149,96,236,248,210,106,48,25,160,254,249,249,250,251
252,248,251,248,250,230,69,34,160,249,151,115,82,81,143,170,166,84,154,252,243,249,253,247,250,250,250,250,250,250,250,250,253,249,251,249,249,249,247,246,251,181,130,195,200,175,143,106,158,154,234,223,92,96,214,251,249,249,250,251
250,249,249,253,253,155,36,167,242,123,107,162,162,166,172,159,158,161,84,199,252,246,249,251,250,250,250,250,250,250,250,249,251,248,251,250,248,251,247,253,219,115,167,109,95,166,192,177,170,124,116,242,246,238,245,249,249,249,250,250
250,254,247,246,250,122,38,220,146,94,165,168,178,162,156,152,151,157,152,105,241,247,253,249,250,250,250,250,250,250,250,249,247,247,249,251,248,250,248,242,128,162,142,79,79,77,123,148,143,186,115,145,252,238,245,252,249,249,249,250
249,250,253,245,253,227,178,135,70,154,153,180,203,176,182,156,153,150,162,92,209,252,248,248,249,250,250,250,250,250,250,250,248,249,247,249,247,245,245,192,115,173,80,78,76,93,90,82,80,126,182,108,131,210,226,253,249,249,250,251
249,250,249,251,248,251,247,87,127,167,164,204,132,88,179,191,156,148,164,102,193,248,252,250,249,249,249,250,250,250,250,248,246,248,243,249,251,247,247,153,132,168,78,76,83,136,95,84,80,87,172,163,66,182,246,249,249,249,250,250
249,251,248,247,247,248,236,109,164,157,182,212,110,80,151,207,210,188,160,80,197,247,249,249,249,250,249,251,250,249,250,249,251,245,248,248,248,241,241,156,139,170,78,78,78,100,97,78,79,93,178,163,91,184,249,250,250,249,251,247
247,251,246,250,253,248,164,96,165,161,197,211,160,147,200,203,189,174,140,68,220,248,249,250,249,249,250,250,250,250,250,250,249,249,248,248,247,247,246,162,116,181,119,82,83,115,134,91,106,155,179,172,82,180,243,252,250,248,250,250
246,251,248,251,250,240,84,121,172,161,207,212,206,192,168,162,167,162,96,59,228,252,251,251,251,250,250,250,250,250,251,251,249,253,249,248,249,251,249,191,78,166,177,152,163,197,198,196,200,199,163,172,86,135,249,247,249,248,250,251
247,253,247,247,253,206,66,152,169,158,190,189,157,161,168,171,172,107,53,77,239,253,249,248,251,250,250,249,249,249,250,250,248,252,249,250,250,251,251,229,80,128,176,170,174,162,183,191,177,164,164,179,112,57,220,252,250,249,251,251
249,249,248,251,249,185,72,165,169,163,151,158,171,171,144,140,107,56,45,175,252,247,254,250,249,250,250,251,251,250,250,250,249,251,247,251,249,249,252,250,128,78,123,160,173,166,160,163,161,158,170,177,162,74,164,252,249,250,251,251
249,248,250,250,247,163,88,169,170,168,163,167,169,138,92,82,48,75,204,251,245,252,249,251,250,251,253,252,253,254,254,253,252,254,248,250,249,250,249,253,173,38,82,111,141,153,162,159,173,178,172,178,163,80,152,250,248,250,251,251
247,253,248,246,250,134,113,170,171,177,171,174,154,97,54,37,80,209,254,248,244,248,250,253,252,253,254,253,254,254,255,253,254,252,250,250,250,251,249,251,236,85,40,78,87,88,114,113,145,158,157,174,135,63,191,251,249,250,251,251
251,250,249,248,249,150,98,174,172,174,162,141,112,64,54,133,236,253,247,248,253,252,254,252,253,255,253,253,254,253,255,253,252,253,250,250,250,249,250,252,252,216,90,42,43,42,58,80,128,140,138,145,105,61,213,250,249,250,250,251
248,249,248,252,251,210,93,166,169,173,162,135,99,46,137,247,250,253,255,253,253,255,253,253,254,254,253,253,254,254,255,254,253,254,249,250,249,250,250,250,253,250,243,154,100,137,49,75,128,125,118,113,76,73,236,250,248,250,252,252
250,250,249,250,248,248,117,115,176,174,174,155,106,49,135,251,252,254,253,253,255,254,254,255,254,254,253,254,255,254,254,254,254,253,249,249,250,250,250,250,250,250,249,249,240,175,50,91,127,125,120,92,48,174,252,250,249,250,252,252
251,247,251,249,250,253,207,77,120,180,164,143,119,57,107,249,249,250,252,254,253,253,253,253,254,254,254,254,255,254,254,254,254,254,251,249,250,250,250,251,246,248,252,249,247,104,55,102,138,137,130,82,81,241,251,251,251,251,251,251
249,249,248,251,249,250,250,182,63,138,160,124,99,49,128,251,249,251,253,255,253,254,254,254,254,255,253,253,254,253,254,254,253,253,251,250,250,250,250,250,247,249,253,252,224,60,82,125,158,153,126,54,180,254,250,249,251,251,250,251
250,252,249,249,248,252,249,251,177,78,123,99,81,46,187,251,250,253,254,255,254,254,254,254,253,255,253,254,254,252,254,253,253,252,251,250,250,250,250,249,251,250,245,249,196,47,105,146,177,161,75,112,251,246,250,251,251,250,249,249
251,250,250,248,252,249,251,240,243,113,47,78,69,53,206,251,247,251,254,254,254,254,253,253,254,255,254,254,253,253,255,252,254,252,251,250,250,250,250,250,250,251,252,249,146,41,108,155,174,122,58,213,250,247,253,247,250,250,249,249
251,249,248,251,249,252,246,250,254,230,103,48,65,36,183,252,251,253,254,253,254,254,254,255,254,254,255,254,254,254,253,251,252,251,250,249,251,251,250,250,251,248,249,251,95,57,114,166,147,65,140,249,244,249,246,254,250,250,251,251
247,250,249,252,244,252,250,250,250,253,248,80,39,43,102,247,250,253,254,253,254,254,254,254,254,254,254,254,254,251,250,249,250,249,249,249,250,251,251,250,248,251,254,229,69,68,113,140,86,94,251,253,248,251,251,247,249,251,252,252
250,250,250,249,250,250,250,251,249,252,251,203,43,33,66,236,252,250,250,253,253,251,251,253,253,254,254,254,250,249,250,250,247,252,248,253,246,249,250,243,241,252,242,102,52,94,107,99,68,217,249,251,250,252,246,252,250,250,251,251
250,250,250,250,250,250,250,251,249,252,252,251,144,31,48,202,246,248,253,251,248,248,252,247,251,250,250,247,249,253,249,251,249,249,251,246,250,254,249,247,248,236,117,43,78,107,106,63,128,246,250,249,250,248,250,250,250,250,251,251
250,250,250,250,250,250,250,250,251,250,249,253,241,98,24,69,129,161,244,247,251,251,250,251,250,247,252,253,248,246,251,250,249,248,246,249,247,250,240,194,152,78,51,86,111,108,59,69,215,251,250,251,249,250,251,249,250,250,251,251
249,250,250,250,250,250,250,250,249,252,250,249,251,183,39,39,44,38,79,102,180,248,252,243,249,252,247,249,250,247,255,248,249,247,253,252,251,229,99,59,76,98,126,129,138,89,58,204,254,248,247,250,250,251,250,248,250,250,251,251
250,250,250,250,250,250,250,250,252,244,248,253,251,243,91,45,72,82,67,68,66,96,231,252,241,252,248,246,254,251,249,249,245,252,250,247,210,76,107,157,175,175,171,168,142,71,167,252,247,253,248,247,253,247,251,250,250,250,251,251
